id,created_at,data_referencia,valor
22,2025-12-10 03:16:52.605919+00,2025-12-01,2860.0
23,2025-12-10 03:16:52.724951+00,2025-12-02,2858.5
24,2025-12-10 03:16:52.849582+00,2025-12-03,2854.0
25,2025-12-10 03:16:52.987629+00,2025-12-04,2854.0
26,2025-12-10 03:16:53.115365+00,2025-12-05,2865.0
27,2025-12-10 03:16:53.255887+00,2025-12-08,2867.5
28,2025-12-10 03:16:53.382624+00,2025-12-09,2832.0
29,2025-12-10 03:24:36.545996+00,2008-12-31,1455.0
31,2025-12-10 03:26:26.203381+00,2008-01-02,1492.0
32,2025-12-10 03:26:27.700801+00,2008-01-03,2422.0
33,2025-12-10 03:26:29.190058+00,2008-01-04,2447.0
34,2025-12-10 03:26:30.705775+00,2008-01-07,2404.0
35,2025-12-10 03:26:32.19817+00,2008-01-08,2442.0
36,2025-12-10 03:26:33.693185+00,2008-01-09,2450.5
37,2025-12-10 03:26:35.191919+00,2008-01-10,2415.5
38,2025-12-10 03:26:36.705921+00,2008-01-11,2417.0
39,2025-12-10 03:26:38.202553+00,2008-01-14,2470.5
40,2025-12-10 03:26:39.690818+00,2008-01-15,2460.5
41,2025-12-10 03:26:41.190823+00,2008-01-16,2423.0
42,2025-12-10 03:26:42.703346+00,2008-01-17,2412.5
43,2025-12-10 03:26:44.203874+00,2008-01-18,2400.0
44,2025-12-10 03:26:45.691415+00,2008-01-21,2371.5
45,2025-12-10 03:26:47.167404+00,2008-01-22,2359.0
46,2025-12-10 03:26:48.683573+00,2008-01-23,2371.0
47,2025-12-10 03:26:50.170267+00,2008-01-24,2411.0
48,2025-12-10 03:26:51.641985+00,2008-01-25,2483.0
49,2025-12-10 03:26:53.132428+00,2008-01-28,2447.0
50,2025-12-10 03:26:54.610741+00,2008-01-29,2555.0
51,2025-12-10 03:26:56.085075+00,2008-01-30,2631.0
52,2025-12-10 03:26:57.548836+00,2008-01-31,2643.0
53,2025-12-10 03:26:59.01732+00,2008-02-01,2676.0
59,2025-12-10 03:27:10.833376+00,2008-02-04,2628.5
60,2025-12-10 03:27:12.301452+00,2008-02-05,2597.5
61,2025-12-10 03:27:13.768593+00,2008-02-06,2591.5
62,2025-12-10 03:27:15.267989+00,2008-02-07,2601.0
63,2025-12-10 03:27:16.750621+00,2008-02-08,2680.0
64,2025-12-10 03:27:18.227515+00,2008-02-11,2668.0
65,2025-12-10 03:27:19.694136+00,2008-02-12,2637.5
66,2025-12-10 03:27:21.179005+00,2008-02-13,2608.0
67,2025-12-10 03:27:22.661905+00,2008-02-14,2738.0
68,2025-12-10 03:27:24.172277+00,2008-02-15,2812.5
69,2025-12-10 03:27:25.669178+00,2008-02-18,2796.0
70,2025-12-10 03:27:27.183548+00,2008-02-19,2806.0
71,2025-12-10 03:27:28.679473+00,2008-02-20,2812.5
72,2025-12-10 03:27:30.15859+00,2008-02-21,2865.0
73,2025-12-10 03:27:31.652197+00,2008-02-22,2865.5
74,2025-12-10 03:27:33.152598+00,2008-02-25,2857.5
75,2025-12-10 03:27:34.635155+00,2008-02-26,2877.0
76,2025-12-10 03:27:36.123086+00,2008-02-27,3065.5
